Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Away,IND,W,25,15,6,11,54.5,3,6,50.0,0,0,0.0,0,2,2,5,0,0,1,0,21
Home,IND,L,25,12,4,9,44.4,0,3,0.0,4,4,100,0,1,1,5,0,0,4,0,-9
Away,ORL,W,23,13,3,9,33.3,1,4,25.0,6,6,100,0,1,1,4,1,0,1,0,20
Away,CHI,L,31,9,4,11,36.4,1,6,16.7,0,1,0.0,0,1,1,4,0,0,2,0,-11
Home,PHI,L,26,10,2,7,28.6,1,5,20.0,5,5,100,0,1,1,4,0,1,4,0,-12
Away,WAS,L,32,7,3,9,33.3,1,6,16.7,0,0,0.0,2,2,4,2,1,0,4,1,-11
Home,CLE,L,33,21,7,18,38.9,2,8,25.0,5,5,100,0,2,2,4,0,0,2,0,-14
Home,NYK,W,39,31,11,21,52.4,4,12,33.3,5,5,100,0,2,2,7,0,0,3,1,10
Away,DAL,W,34,24,9,17,52.9,4,8,50.0,2,2,100,0,2,2,2,3,1,5,2,0
Home,MEM,W,28,46,13,18,72.2,10,14,71.4,10,10,100,0,3,3,4,1,0,2,1,47
Away,BKN,W,37,24,6,25,24.0,1,5,20.0,11,11,100,2,3,5,6,2,0,0,1,13
Away,PHI,L,40,24,8,19,42.1,1,9,11.1,7,7,100,1,7,8,6,3,1,3,0,-11
Away,NYK,L,25,10,4,10,40.0,2,5,40.0,0,0,0.0,0,1,1,2,0,0,2,1,-13
Away,ATL,W,35,24,6,14,42.9,6,10,60.0,6,6,100,0,4,4,8,1,0,2,2,19
Away,NOP,L,39,22,9,20,45.0,3,7,42.9,1,1,100,0,3,3,7,1,0,3,1,-4
Home,PHX,W,39,11,4,14,28.6,2,8,25.0,1,2,50.0,0,2,2,7,1,0,1,1,11
Home,BKN,L,31,21,7,11,63.6,3,3,100,4,4,100,0,0,0,6,2,0,3,1,-21
Home,PHI,L,35,5,1,9,11.1,0,5,0.0,3,6,50.0,0,3,3,7,0,1,2,2,-19
Away,TOR,L,39,27,8,23,34.8,3,12,25.0,8,11,72.7,1,5,6,4,1,0,1,1,-8
Away,PHI,L,38,31,11,21,52.4,4,10,40.0,5,6,83.3,0,1,1,5,1,0,1,1,-12
Away,BOS,L,25,23,9,13,69.2,4,6,66.7,1,2,50.0,0,0,0,5,0,0,0,1,-20
Home,CHI,W,34,31,11,19,57.9,6,10,60.0,3,4,75.0,0,2,2,5,3,0,6,0,14
Home,DET,W,28,17,5,11,45.5,2,4,50.0,5,5,100,1,0,1,6,0,1,4,2,4
Away,WAS,W,33,24,8,17,47.1,5,10,50.0,3,3,100,1,6,7,2,1,0,1,1,14
Home,BKN,W,35,31,12,22,54.5,4,8,50.0,3,3,100,0,0,0,7,2,0,1,1,18
Away,ORL,W,42,20,6,19,31.6,4,8,50.0,4,4,100,1,4,5,6,4,1,1,2,1
Home,TOR,L,31,23,7,17,41.2,4,6,66.7,5,6,83.3,0,2,2,9,1,1,2,1,-10
Away,UTA,L,33,19,8,19,42.1,3,8,37.5,0,0,0.0,0,3,3,5,0,0,2,2,-12
Away,POR,L,39,40,13,26,50.0,6,11,54.5,8,8,100,0,1,1,3,4,0,3,1,-3
Away,DEN,L,33,20,6,13,46.2,3,6,50.0,5,6,83.3,0,3,3,4,1,0,2,1,-14
Away,PHX,W,34,18,6,19,31.6,2,10,20.0,4,5,80.0,0,2,2,5,0,1,2,2,-12
Home,IND,W,42,41,11,22,50.0,5,12,41.7,14,14,100,1,2,3,9,0,0,4,1,8
Away,ATL,W,39,38,12,20,60.0,9,13,69.2,5,7,71.4,0,2,2,6,0,0,1,1,24
Away,IND,L,35,23,7,15,46.7,3,5,60.0,6,7,85.7,0,3,3,4,1,0,3,1,-3
Away,MIA,L,41,30,8,22,36.4,4,9,44.4,10,14,71.4,1,5,6,5,1,1,1,4,6
Home,ATL,W,35,29,10,22,45.5,5,10,50.0,4,4,100,2,2,4,4,3,0,4,1,28
Home,NOP,L,34,20,8,21,38.1,3,8,37.5,1,2,50.0,0,5,5,7,0,1,6,1,-6
Home,SAC,W,40,26,6,20,30.0,5,14,35.7,9,10,90.0,0,6,6,9,1,2,6,0,7
Home,MIA,L,37,22,10,25,40.0,1,8,12.5,1,2,50.0,0,3,3,7,3,0,1,3,1
Home,WAS,W,29,19,6,15,40.0,4,8,50.0,3,3,100,1,2,3,7,0,1,1,1,14
Away,DET,W,35,20,9,18,50.0,1,5,20.0,1,1,100,1,3,4,9,0,0,1,1,4
Home,OKC,L,34,19,5,17,29.4,2,7,28.6,7,8,87.5,0,3,3,2,1,0,5,2,-4
Home,UTA,W,37,22,5,14,35.7,4,6,66.7,8,9,88.9,0,2,2,6,0,0,2,2,17
Home,DAL,L,37,41,16,28,57.1,3,9,33.3,6,6,100,0,3,3,4,3,1,1,3,0
Away,LAL,W,30,19,8,17,47.1,3,8,37.5,0,0,0.0,0,2,2,7,4,0,1,0,12
Away,SAC,W,30,12,4,11,36.4,1,5,20.0,3,3,100,1,3,4,10,2,0,0,1,29
Away,LAC,L,33,30,11,21,52.4,4,10,40.0,4,7,57.1,0,1,1,2,2,0,1,1,-21
Away,GSW,W,35,16,5,16,31.3,3,9,33.3,3,4,75.0,0,5,5,5,3,2,1,1,11
Home,BOS,L,36,24,9,22,40.9,4,10,40.0,2,2,100,0,1,1,5,0,0,4,0,-4
Home,MIL,W,33,19,5,15,33.3,3,7,42.9,6,9,66.7,0,1,1,8,0,1,4,1,1
Away,MIL,L,32,32,13,21,61.9,4,9,44.4,2,3,66.7,0,4,4,2,2,1,2,2,1
Home,TOR,L,28,15,4,12,33.3,2,6,33.3,5,6,83.3,0,2,2,2,4,0,2,0,-21
Home,NYK,W,30,9,4,13,30.8,0,4,0.0,1,1,100,0,1,1,6,3,0,2,1,9
Home,POR,L,38,14,7,26,26.9,0,9,0.0,0,0,0.0,1,5,6,6,1,0,2,2,5
Home,MIA,L,33,25,8,22,36.4,4,10,40.0,5,6,83.3,2,2,4,5,2,0,4,2,2
Away,HOU,L,37,13,5,15,33.3,1,6,16.7,2,4,50.0,0,5,5,3,2,0,1,0,-3
Away,OKC,W,39,19,6,13,46.2,3,5,60.0,4,4,100,0,3,3,9,0,0,4,0,19
Home,LAL,L,29,23,10,22,45.5,3,8,37.5,0,0,0.0,0,3,3,4,1,0,1,1,-2
Home,CHI,L,42,20,5,16,31.3,3,10,30.0,7,7,100,0,1,1,5,1,0,1,2,-1
Home,GSW,L,37,24,8,21,38.1,3,7,42.9,5,7,71.4,1,5,6,5,2,0,1,1,-6
Home,ORL,W,34,29,7,16,43.8,1,8,12.5,14,14,100,0,2,2,7,3,1,0,1,13
Home,SAS,L,31,18,8,12,66.7,1,4,25.0,1,2,50.0,1,2,3,5,0,1,3,1,-12
Away,CLE,L,38,15,6,21,28.6,2,11,18.2,1,4,25.0,2,4,6,8,1,0,2,2,-3
Home,WAS,W,40,24,8,22,36.4,3,8,37.5,5,6,83.3,2,3,5,5,0,0,2,2,6
Home,MIN,W,34,14,4,12,33.3,2,5,40.0,4,4,100,0,4,4,3,1,1,3,1,12
Home,LAC,W,36,26,8,17,47.1,6,9,66.7,4,4,100,0,2,2,6,0,0,0,1,19
Away,CHI,L,38,47,17,27,63.0,5,9,55.6,8,9,88.9,1,5,6,5,0,0,1,0,3
Home,CLE,L,39,20,7,17,41.2,3,9,33.3,3,6,50.0,0,5,5,7,0,0,1,1,-5
Away,BOS,L,37,20,5,19,26.3,0,6,0.0,10,11,90.9,1,4,5,11,1,0,3,3,4
Away,NYK,L,33,21,8,16,50.0,4,8,50.0,1,1,100,1,4,5,7,1,0,5,3,3
Away,MIN,L,31,9,4,15,26.7,0,5,0.0,1,2,50.0,0,2,2,9,1,0,1,3,-18
Away,SAS,L,33,13,4,12,33.3,1,6,16.7,4,5,80.0,0,0,0,4,1,0,2,3,7
Home,MIL,W,34,26,8,12,66.7,3,4,75.0,7,7,100,0,2,2,3,0,1,1,0,-8
Away,MEM,W,29,27,7,15,46.7,1,5,20.0,12,13,92.3,0,2,2,6,1,0,2,4,11
Home,ORL,W,36,34,15,25,60.0,2,7,28.6,2,2,100,1,5,6,10,2,1,3,4,22
Home,HOU,L,39,26,8,22,36.4,4,6,66.7,6,6,100,1,2,3,5,1,1,1,0,-6
Home,DEN,W,32,19,4,9,44.4,2,4,50.0,9,9,100,0,4,4,5,0,0,1,0,26
Away,MIL,L,34,15,6,15,40.0,1,6,16.7,2,2,100,0,2,2,6,1,0,3,0,3
Home,ATL,W,38,26,6,13,46.2,4,8,50.0,10,12,83.3,1,3,4,9,1,0,4,2,35
Away,DET,L,35,24,6,13,46.2,1,3,33.3,11,13,84.6,1,5,6,4,0,0,4,1,-11
